"Gene"	"Transcript"	"Best.transcript"	"Log2.ratio"	"FDR"	"Ctrl462"	"Ctrl1850"	"Ctrl18294"	"Mut1847"	"Mut1088"	"Mut20699"
"Slc7a9"	"uc009gjw.2"	1	2.04964408086825	0.0149554482177529	8.48587729510783	8.07900662182228	8.35522624503131	10.5539852865258	10.848070102167	8.16522591611143
"Hsd17b14"	"uc009gvz.1"	1	-2.44062903078049	0.00108216777735234	8.00576449357696	8.38785820604778	7.12650531353736	5.88707046133634	5.85958779446061	4.64673931447381
"Fut2"	"uc009gwn.1"	1	-1.35431099968233	0.00175217641878941	12.6209083960067	12.2842097777472	13.0357073775526	11.2882078180843	11.3872478854276	11.3713120267888
"Fam83e"	"uc009gwy.1"	1	-1.22296826171727	0.0112460004759957	12.9324935919606	13.0630642068339	12.8239123234347	11.7688988653756	11.5699314042495	12.0678986891049
"Tph1"	"uc009gyq.2"	1	-5.07162831256574	1.54786450509989e-20	9.66004004936065	9.17594100397954	9.57812518283603	5.06970584525698	5.23904204954032	2.48302206273401
"B3gnt6"	"uc009ikf.1"	1	-2.41398163428465	0.00145511511412223	8.77293577129685	7.85760103619939	8.401831266478	5.30138085768573	6.18744928510092	6.25370163393591
"Kcne3"	"uc009imp.2"	1	-2.06049342462538	2.10575923071896e-07	11.5646951811142	11.3995541781964	11.1237263146984	9.09871078332014	9.48842074921433	9.65389023295239
"Itpripl2"	"uc009jjx.1"	1	1.29907749162895	0.00420227664780265	9.71539822722251	9.79794386228305	9.77584339165204	11.0082193160933	11.2549852262784	10.864110907421
"2010110P09Rik"	"uc009jos.1"	1	1.47691829870288	0.00264896982075624	10.5705572750476	9.72142000097642	10.8073015177722	11.9089535368705	11.8819167001293	11.8718787389916
"Nupr1"	"uc009jsd.1"	1	-1.50593296143878	0.00868876082062107	12.5992495487361	11.3252370272557	12.8832593710198	10.7543990091338	10.7351167266603	11.299727566853
"Sct"	"uc009kkl.1"	1	2.23471846338326	0.00447602618089978	9.61680048063994	9.22752443816795	8.03335890490169	11.5472738682893	11.7698765474201	9.88213374439928
