#1.2
12375	6
Human_name	Transcript	X462P	X1850P	X18294P	X1847P	X1088P	X20699P
C2orf70	uc008wvm.1	0	1.93036442346524	0	0	0	1.03534089374133
C17orf98	uc007let.1	0	0	0	0	0	2.48302206273401
C2orf81	uc009cmx.2	6.45039214998444	6.39855289114294	6.09312326380549	5.88707046133634	5.99670504960177	5.8484707602146
C17orf105	uc007lqb.2	0	0	0	0	0	0
LOC285423	uc012ggd.1	0	0	0	0	0	0
C4orf22	uc008yge.1	4.55025157762443	3.96519603459628	1.83862249439275	3.24459624169163	2.53716042659793	2.48302206273401
C19orf81	uc009gpf.2	2.5681693861122	0	2.60460545198098	2.90056604657195	2.53716042659793	0
C14orf105	uc007tke.2	8.28263872733555	9.11651847574315	7.82274022275936	8.94693493357981	8.54243732053221	6.49551914916788
C4orf51	uc009mil.2	0	0	1.83862249439275	0	0	0
C11orf97	uc009oex.1	3.37784634213167	1.93036442346524	0	1.797040311211	0	0
LOC101928761	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm14476	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm14478	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm14482	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm14474	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm14484	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm16501	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm5132	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
Gm6026	uc009spr.1	0	2.62717530235616	0	1.797040311211	1.81908052342301	1.03534089374133
C1orf158	uc008vrf.1	0	0	1.07864367792527	1.797040311211	0	0
LOC102723899	uc008win.2	0	0	0	0	0	1.03534089374133
C4orf36	uc012dzx.1	4.88177576808509	4.35915325750132	2.90246312766689	2.48302206273401	1.81908052342301	1.79187768076034
C15orf39	uc009puq.2	7.99697339082363	8.04486821894831	7.99770448322979	8.44912050688976	8.62536660452543	9.07432369290946
C12orf50	uc007gxz.1	0	0	0	0	0	0
C16orf95	uc012gly.1	0	0	0	0	0	0
LOC100505478	uc008tgz.1	0	0	0	0	0	0
Gm6370	uc009alz.1	0	0	0	0	0	0
1700123K08Rik	uc009alz.1	0	0	0	0	0	0
1700001J03Rik	uc009alz.1	0	0	0	0	0	0
Gm3404	uc009alz.1	0	0	0	0	0	0
Gm3415	uc009alz.1	0	0	0	0	0	0
4933421I07Rik	uc009alz.1	0	0	0	0	0	0
Gm5565	uc009alz.1	0	0	0	0	0	0
C19orf45	uc012fyj.1	0	1.93036442346524	1.83862249439275	2.48302206273401	0	0
C2orf88	uc007ayr.1	7.83804384777625	7.31259726200377	7.65944421920286	7.29719306484636	6.79884216837595	6.74826163592541
C10orf82	uc008iav.1	0	0	0	0	1.81908052342301	0
C2orf57	uc007bvo.2	0	0	0	0	0	0
C20orf141	uc008mis.1	0	0	0	2.48302206273401	0	1.03534089374133
C6orf203	uc007ezk.1	9.23914800067851	9.2746407310607	8.50944074868039	9.16165768236837	9.06111426599132	8.22874070785929
C20orf85	uc008odt.2	0	0	0	0	0	0
C10orf53	uc007syu.1	0	0	0	0	0	0
C9orf9	uc008izb.1	0	1.93036442346524	3.14588884585938	2.48302206273401	3.02633981704522	1.79187768076034
C9orf135	uc008had.1	0	0	0	0	0	0
C11orf94	uc008kxu.2	2.5681693861122	3.96519603459628	2.90246312766689	2.48302206273401	4.27617080584329	3.06221043275465
C19orf44	uc009mfz.1	7.23962495905998	7.2681761907949	7.32385898891182	7.32981191393748	7.2031994612403	7.3314102251778
C12orf71	uc009eso.2	0	0	0	0	0	0
C7orf34	uc009bqe.1	0	0	0	0	0	0
C20orf27	uc008mkt.1	8.66013586646814	9.08147649467223	8.21148893419305	8.67034450263291	8.69412104235577	8.39680253976999
C19orf67	uc012ggw.1	1.83862249439275	3.13890012044006	2.33149126326214	2.90056604657195	2.53716042659793	1.03534089374133
C2orf74	uc011xsd.1	0	0	0	1.797040311211	1.81908052342301	2.48302206273401
C1orf189	uc008qbe.2	6.47598641554369	7.43421430602569	7.32385898891182	7.00317762853433	7.05752222565622	7.38675708411638
C17orf64	uc011ybo.1	0	0	1.07864367792527	0	0	0
C11orf98	uc008gnt.1	8.82006180657615	8.66752757101892	8.12966467184309	8.73462737016067	8.70458489483815	8.09143399561056
